,code,title,points_r1_2021,points_r1_2020,points_r1_2019
585,TU914,Business Computing,322,372,201
586,TU917,Law (LLB ) with a Language,356,473,265
587,TU918,Law (LLB),463,317,281
588,TU919,Advertising and Marketing Communications,219,270,261
589,TU920,Digital Marketing,270,274,410
590,TU921,Digital Marketing Technologies,230,287,346
591,TU922,Marketing,412,356,360
592,TU924,E-Commerce in Retailing,307,368,486
593,TU925,Retail and Services Management,307,178,327
594,TU932,Business (options),211,214,564
595,TU933,Accounting and Finance (campus options),251,182,357
596,TU935,Sports Management and Coaching,300,190,413
597,TU936,Sports Science and Health,484,196,387
598,TU941,Botanical Cuisine,311,244,421
599,TU942,Culinary Arts,252,429,413
600,TU943,Culinary Entrepreneurship,261,367,300
601,TU944,Culinary Science,336,252,453
602,TU951,International Hospitality and Tourism Management,244,244,484
603,TU952,International Hospitality Management,309,266,410
604,TU953,Tourism and Digital Marketing,308,270,419
605,TU954,Event Management,326,244,403
606,TU955,Sports and Leisure Management,275,214,430
607,TU961,Commercial Modern Music (BIMM - assessment/audition),536,377,346
608,TU962,"Drama (Performance, audition)",448,284,465
609,TU963,Music (audition),364,,462
610,TU965,International Business and Languages,357,252,465
611,TU967,Languages and International Tourism,298,303,454
612,TU973,Design - Visual Communication (portfolio),700,335,425
613,TU974,Fine Art (portfolio),549,,442
614,TU975,Interior Design (portfolio),544,429,526
615,TU976,Photography (portfolio),700,253,476
616,TU978,Creative Industries and Visual Culture,299,,520
617,TU981,Creative Digital Media,280,253,518
618,TU982,Media Production and Digital Arts,369,253,506
619,TU983,Film and Broadcasting,462,217,509
620,TU984,Game Design,414,248,543
621,TU985,Journalism,367,240,508
622,TU989,Early Childhood Care and Education (campus options),270,264,551
623,TU991,Applied Social Studies in Social Care,326,244,510
624,TU992,Community Development and Youth Work,251,280,542
625,TU995,Early Childhood Education,378,145,565
626,TU996,Social Care,407,135,506
627,TU997,Applied Social Care,320,252,548
628,TR002,Music,508,AQA,#503
629,TR003,History,552,254,#709
630,TR004,Law,590,,489
631,TR005,Philosophy,510,,613
632,TR006,Psychology,601,AQA,498
633,TR007,Clinical Speech and Language Studies,564,AQA,431
634,TR009,Music Education,496,169,509
635,TR015,"Philosophy, Political Science, Economics and Sociology",613,150,467
636,TR016,Deaf Studies,389,254,412
637,TR018,Law and French,602,117,422
638,TR019,Law and German,577,337,555
639,TR021,"Classics, Ancient History and Archaeology",467,129,543
640,TR022,Early and Modern Irish,377,300,465
641,TR023,English Studies,546,523,532
642,TR024,European Studies,566,301,485
643,TR025,Drama and Theatre Studies,543,409,495
644,TR028,Ancient and Medieval History and Culture,498,403,522
645,TR031,Mathematics,579,357,533
646,TR032,Engineering,556,330,541
647,TR033,Computer Science,566,321,555
648,TR034,Management Science and Information Systems Studies,625,368,554
649,TR035,Theoretical Physics,590,387,431
650,TR038,Engineering with Management,589,451,509
651,TR039,"Computer Science, Linguistics and a Language",443,400,433
652,TR040,Middle Eastern and European Languages and Cultures,520,350,#737*
653,TR041,Religion,417,356,601
654,TR042,Film,531,361,578
655,TR043,History of Art and Architecture,498,358,531
656,TR051,Medicine (HPAT required),743,454,502
657,TR052,Dental Science,625,328,475
658,TR053,Physiotherapy,590,391,520
659,TR054,Occupational Therapy,578,401,312
660,TR055,Radiation Therapy,577,352,288
661,TR056,Human Health and Disease,601,420,261
662,TR060,Biological and Biomedical Sciences,578,408,300
663,TR061,Chemical Sciences,558,360,290
664,TR062,Geography and Geoscience,495,407,#301
665,TR063,Physical Sciences,554,422,283
666,TR064,Environmental Science and Engineering,555,410,304
667,TR072,Pharmacy,613,433,262
668,TR080,Global Business,613,484,234
669,TR081,"Business, Economic and Social Studies (BESS)",577,489,300
670,TR084,Social Studies (Social Work),497,495,321
671,TR085,Business Studies and French,564,465,320
672,TR086,Business Studies and German,530,509,316
673,TR087,Business Studies and Russian,487,473,302
674,TR089,Business Studies and Polish,391,530,308
675,TR090,Business Studies and Spanish,566,487,429*
676,TR091,General Nursing (Meath and St James`s),462,499,367*
677,TR093,General Nursing (Adelaide School of Nursing),473,520,357
678,TR095,Mental Health Nursing,442,509,288
679,TR097,Intellectual Disability Nursing,412,530,279
680,TR111,Ancient History and Archaeology/Geography,496,497,209
681,TR112,Ancient History and Archaeology/History,577,681,280
682,TR113,Ancient History and Archaeology/History of Art and Architecture,528,433,589
683,TR114,Ancient History and Archaeology/Modern Language,507,556,522
684,TR117,Ancient History and Archaeology/Religion,494,465,#485
685,TR166,Classical Civilisation/English Literature,552,408,409
686,TR173,Classical Civilisation/History of Art and Architecture,420,487,590
687,TR177,Classical Civilisation/Modern Language,484,419,434
688,TR179,Classical Civilisation/Philosophy,508,412,370
689,TR188,Computer Science/Business Studies,584,403,407
690,TR198,Economics/Geography,968,509,387
691,TR202,Economics/History,601,476,509
692,TR207,Economics/Mathematics,613,402,476
693,TR208,Economics/Modern Language,589,508,292
694,TR209,Economics/Philosophy,588,403,290
695,TR212,Economics/Sociology,589,465,325
696,TR214,Social Policy/Economics,611,455,#794
697,TR228,Classical Languages/English Literature,555,454,#914
698,TR230,Classical Languages/Linguistics,501,510,#993
699,TR231,Classical Languages/History of Art and Architecture,613,509,263
700,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",583,403,331
701,TR239,Classical Languages/Modern Language,543,502,300
702,TR240,Computer Science/Geography,482,405,298
703,TR241,Computer Science/Linguistics,495,728,255
704,TR262,English Literature/History,576,555,280
705,TR263,English Literature/History of Art and Architecture,571,543,226
706,TR269,English Literature/Philosophy,555,443,260
707,TR272,English Literature/Sociology,553,476,317
708,TR276,English Literature/Drama Studies,555,440,326
709,TR277,English Literature/Modern Language,554,495,308
710,TR311,Film/Drama Studies,578,203,278
711,TR312,Film/English Literature,576,294,300
712,TR320,Film/Music,584,740,264
713,TR322,Geography/History,578,880,391
714,TR323,Drama Studies/Modern Language,495,942,498
715,TR324,Film/Modern Language,577,262,252
716,TR325,Film/History,578,241,361
717,TR326,Geography/Modern Language,451,270,378
718,TR328,Political Science/Geography,564,307,261
719,TR332,Geography/Sociology,522,300,374
720,TR443,History/History of Art and Architecture,581,298,271
721,TR447,History/Modern Language,576,234,279
722,TR449,History/Philosophy,579,205,262
723,TR454,History/Religion,,217,272
724,TR455,History of Art and Architecture/Modern Language,451,272,381
725,TR457,History/Political Science,576,225,328
726,TR479,History of Art and Architecture/Philosophy,509,205,391
727,TR482,Sociology/History of Art and Architecture,522,262,429
728,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",543,307,325
729,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",544,255,377
730,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",576,282,337
731,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",590,294,309
732,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,288,357
733,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",999,206,298
734,TR580,Business Studies/Law,625,270,328
735,TR581,History/Law,625,264,309
736,TR582,Political Science/Law,625,326,228
737,TR587,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",,294,279
738,TR588,Linguistics/Modern Language,456,413,260
739,TR589,Linguistics/Philosophy,520,262,260
740,TR592,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",531,329,289
741,TR597,Mathematics/Modern Language,613,289,#841
742,TR598,Mathematics/Music,625,307,279
743,TR599,Mathematics/Philosophy,625,261,#807
744,TR629,Music/Philosophy,533,298,309
745,TR635,Music/Drama Studies,532,297,360*
746,TR636,Music/Modern Language,530,232,451
747,TR638,Music/Religion,,280,474
748,TR639,Philosophy/Modern Language,520,214,#329
749,TR662,Philosophy/Sociology,531,208,420
750,TR663,Religion/Classical Civilisation,418,227,530
751,TR664,Religion/English Literature,968,200,530
752,TR665,Religion/History of Art and Architecture,369,272,432
753,TR666,Religion/Modern Language,,264,409
754,TR667,French/Modern Language,466,347,429
755,TR668,German/Modern Language,441,291,451
756,TR669,Irish/Modern Language,464,188,555*
757,TR670,Italian/Modern Language,462,367,468
758,TR671,Russian/Modern Language,501,307,410
759,TR672,Spanish/Modern Language,486,279,430
760,TR756,Sociology/Modern Language,522,252,464*
761,TR757,Modern Language/Social Policy,555,235,#401
762,TR758,Social Policy/Political Science,566,346,567
763,TR759,Sociology/Social Policy,554,297,446*
764,TR801,Dental Nursing,490,207,498*
765,TR802,Dental Hygiene,577,350,552
766,TR803,Dental Technology,543,413,506
767,TR911,Children`s and General Nursing (Integrated),531,309,521
768,TR913,Midwifery,521,325,367
769,DN100,Architecture,555,318,475
770,DN120,Landscape Architecture,463,317,425
771,DN130,City Planning and Environmental Policy,445,318,454
772,DN150,Engineering (Common Entry),565,303,465
773,DN200,Science (options),577,236,520
774,DN201,Computer Science (Common Entry),554,236,613*
775,DN230,Actuarial and Financial Studies,613,163,534
776,DN240,Sustainability,510,148,#429
777,DN250,Agricultural Science (options),454,297,441
778,DN261,Food Science,531,225,476
779,DN262,Human Nutrition,566,279,498*
780,DN300,Veterinary Medicine - Undergraduate Entry,601,236,445
781,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),#,197,402
782,DN310,Veterinary Nursing,521,274,382
783,DN400,Medicine - Undergraduate Entry (HPAT required),743,270,498*
784,DN401,Medicine - Graduate Entry (GAMSAT required),61,298,455
785,DN410,Radiography,566,157,489
786,DN411,Radiography - Graduate Entry,#,278,498*
787,DN420,Physiotherapy,601,278,478
788,DN425,Health and Performance Science,544,144,462
789,DN430,Sport and Exercise Management,484,297,521*
790,DN440,"Biomedical, Health and Life Sciences",613,852,294
791,DN450,General Nursing,462,192,564
792,DN451,Children`s and General Nursing (Integrated),533,234,381
793,DN452,Midwifery,510,808,338
794,DN453,Mental Health Nursing,442,260,554
795,DN520,Joint Honours (options),381,147,390
796,DN530,Humanities (options),397,195,324
797,DN541,Modern Languages (options),320,320,401
798,DN600,Law (options),576,242,490
799,DN610,Business and Law,573,348,451
800,DN650,Commerce,555,465,422
801,DN660,Commerce International (options),555,303,521
802,DN670,Economics and Finance,625,418,444
803,DN700,Social Sciences (options),475,490,543
804,DN710,Economics,534,500,529
805,DN720,Psychology,566,402,510
806,DN750,Social Policy and Sociology,421,369,452
807,DK710,Business and Management,120,442,351
808,DK711,Business and Technology,140,431,326
809,DK712,Digital Marketing and Public Relations,206,528,362
810,DK721,Computing,120,403,370
811,DK722,Augmented and Virtual Reality,207,379,476
812,DK730,Building Surveying,243,421,424
813,DK731,Architectural Technology,253,408,441
814,DK732,Construction Management,243,520,423
815,DK740,Engineering - Electrical and Electronic Systems,163,398,378
816,DK742,Engineering - Mechanical Engineering,166,474,507
817,DK744,Engineering - Civil Engineering,165,532,465
818,DK750,Hospitality Management,223,517,381
819,DK752,Event Management,224,507,400
820,DK753,Culinary Arts,192,339,520
821,DK763,"Sport, Exercise and Enterprise",205,440,542
822,DK767,Community Youth Work (interview),240,367,464
823,DK768,Audio and Music Production,329,405,463*
824,DK769,Creative Media,265,402,378
825,DK770,Theatre and Film Practice,140,498,440*
826,DK771,Musical Theatre (audition),,589,440*
827,DK781,Science - Bioscience,376,55,387
828,DK783,Science - Pharmaceutical Science,346,509,262
829,DK784,Veterinary Nursing,451,392,279
830,DK810,Accounting and Finance,307,454,304
831,DK816,Business Studies,301,476,288
832,DK820,Computing in Games Development,309,403,298
833,DK821,Computing in Software Development,320,351,298
834,DK822,Augmented and Virtual Reality,320,327,341
835,DK830,Building Surveying,305,441,287
836,DK831,Architectural Technology,368,437,309
837,DK832,Construction Management,358,404,#501
838,DK843,Engineering (Common Entry),404,475,332
839,DK844,Mechanical Engineering,336,419,316
840,DK845,Electrical and Electronic Engineering,331,420,319
841,DK846,Civil Engineering,371,469,298
842,DK850,International Tourism Management,303,337,308
843,DK861,Arts,302,161,310
844,DK862,Social Care,322,309,336
845,DK863,Creative Media,336,290,327
846,DK864,Film and Television Production,308,149,291
847,DK865,Audio and Music Production,352,160,373
848,DK870,General Nursing,440,300,418
849,DK872,Intellectual Disability Nursing,367,300,300
850,DK874,Mental Health Nursing,398,229,412
851,DK876,Early Childhood Studies,300,170,313
852,DK877,Midwifery,482,320,403
853,DK880,Health and Physical Activity,301,172,359
854,DK882,Agriculture (Award options),342,198,384
855,DK883,Science (Award options),373,266,307
856,DK884,Sustainable Agriculture,348,179,376
857,DK885,Agri-Food Production,,181,358
858,DK886,Biopharmaceutical Science,379,276,357
859,DK887,Environmental Science,377,301,326
860,GA160,Business (Level 6),168,165,308
861,GA170,Business (Level 7),252,271,315
862,GA171,Business Information Systems,253,160,310
863,GA172,Rural Enterprise and Agri-Business,278,300,#718
864,GA174,Marketing and Sales,278,180,322
865,GA175,Finance,318,312,308
866,GA176,Business with Entrepreneurship,278,204,322
867,GA181,Accounting,303,306,307
868,GA182,Business,285,164,293
869,GA183,Business Information Systems,298,169,306
870,GA184,Marketing and Sales,300,317,301
871,GA185,Finance and Economics,318,232,361
872,GA186,Business with Entrepreneurship,287,233,305
873,GA187,Rural Enterprise and Agri-Business,291,248,307
874,GA272,Heritage Studies,174,303,309
875,GA273,Contemporary Art (portfolio),775,456,316
876,GA274,Design,271,307,317
877,GA281,Film and Documentary,310,473,303
878,GA282,Heritage Studies,252,194,314
879,GA283,Contemporary Art (portfolio),790,316,308
880,GA284,Design,331,367,341
881,GA285,"Education (Art, Design and Graphics)",406,163,309
882,GA360,Business in Tourism,171,202,301
883,GA361,Culinary Arts,181,205,463
884,GA362,Hotel and Hospitality Operations,162,400,440
885,GA364,Heritage Studies,252,181,270
886,GA370,Hotel and Catering Management,163,357,279
887,GA376,Event Management with Public Relations,216,326,271
888,GA377,International Tourism Management,180,303,270
889,GA378,Culinary and Gastronomic Science,200,280,270
890,GA380,International Hotel Management,218,507,262
891,GA381,International Tourism Management,252,,#321
892,GA382,Culinary and Gastronomic Science,235,318,279
893,GA384,Event Management with Public Relations,230,#,308
894,GA470,Construction Management,246,521,225
895,GA471,Quantity Surveying and Construction Economics,234,346,446
896,GA472,Architectural Technology,260,316,415
897,GA473,Civil Engineering,304,#,390
898,GA480,Construction Management,302,360,267
899,GA482,Quantity Surveying and Construction Economics,304,455,252
900,GA483,Architectural Technology,281,430,280
901,GA484,Civil Engineering,377,422,309
902,GA570,Software and Electronic Engineering,225,510,288
903,GA580,Software and Electronic Engineering,300,445,280
904,GA670,Mechanical Engineering,294,498,243
905,GA673,Energy Engineering,279,498,270
906,GA674,Biomedical Engineering,308,487,226
907,GA675,Agricultural Engineering,290,422,456
908,GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),304,333,261
909,GA677,Manufacturing Engineering Design,308,357,276
910,GA680,Mechanical Engineering,400,361,377
911,GA681,Energy Engineering,312,357,271
912,GA682,Biomedical Engineering,331,476,279
913,GA683,Agricultural Engineering,304,422,237
914,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energy/Mech Eng,413,430,279
915,GA685,Manufacturing Engineering Design,336,357,201
916,GA770,Applied Freshwater and Marine Biology,303,420,260
917,GA771,Applied Biology and Biopharmaceutical Science,302,371,270
918,GA772,Chemical and Pharmaceutical Science,310,473,262
919,GA773,Physics and Instrumentation,302,451,230
920,GA774,Science (Undenominated),302,352,266
921,GA775,Computing in Software Development,280,351,261
922,GA776,Computing and Digital Media,244,532,
923,GA777,Agriculture and Environmental Management,281,327,
924,GA780,Applied Freshwater and Marine Biology,366,#,
925,GA781,Applied Biology and Biopharmaceutical Science,381,#,
926,GA782,Chemical and Pharmaceutical Science,356,375,
927,GA783,Physics and Instrumentation,301,300,
928,GA784,Science (Undenominated),445,577,
929,GA785,Medical Science,517,495,
930,GA786,Forensic Science and Analysis,408,456,
931,GA787,Computing in Software Development,310,357,
932,GA788,Computing and Digital Media,270,588,
933,GA789,Agriculture and Environmental Management,340,402,
934,GA790,Sport and Exercise Science,376,368,
935,GA791,Public Health Nutrition,368,409,
936,GA862,History and Geography,195,401,
937,GA864,Early Childhood Education and Care,170,444,
938,GA870,Outdoor Education and Leisure,166,434,
939,GA871,Early Childhood Education and Care,196,290,
940,GA872,Culture and Environment,201,440,
941,GA876,Community Development and Youth Work (Level 7),,260,
942,GA879,Applied Social Care,241,300,
943,GA880,General Nursing,440,300,
944,GA882,Psychiatric Nursing,369,400,
945,GA885,Outdoor Education,269,280,
946,GA887,History and Geography,201,337,
947,GA889,Applied Social Care,265,261,
948,GA890,Early Childhood Education and Care,281,220,
949,GA891,Geography and Outdoor Education,261,250,
950,GA892,Community Development and Youth Work (Level 8),,243,
951,GA970,Furniture Design and Manufacture,302,187,
952,GA971,Furniture Making and Architectural Woodworking,369,220,
953,GA973,Furniture and Digital Manufacturing,,200,
954,GA974,"Furniture Design, Making and Technology - Common Entry",422,217,
955,GA980,Education (Design Graphics and Construction),410,253,
956,GA981,Furniture Design and Manufacture,346,252,
957,GA982,Furniture Making and Architectural Woodworking,360,255,
958,GA983,Furniture and Digital Manufacturing,,733,
959,GA984,"Furniture Design, Making and Technology - Common Entry",486,566,
960,GY101,Arts (Joint-Honours),327,579,
961,GY104,BSc (Psychology),564,,
962,GY105,Arts (History),357,160,
963,GY109,Arts (Mathematics and Education),413,254,
964,GY110,Arts (Children and Youth Studies - options),387,280,
965,GY111,Arts (English and Creative Writing),421,215,
966,GY113,Arts with Human Rights,413,187,
967,GY115,Arts with Performing Arts Studies,300,272,
968,GY118,"Arts (Drama, Theatre and Performance Studies)",453,324,
969,GY119,Arts (Journalism),484,260,
970,GY122,Na Dána (Cumarsáid agus Gaeilge),410,261,
971,GY123,Applied Social Sciences,419,279,
972,GY125,Arts (Digital Arts and Technology),403,270,
973,GY127,Arts (Film and Digital Media),430,309,
974,GY128,Arts (Global Languages),346,307,
975,GY129,Arts (Global Experience),465,269,
976,GY130,Arts (Music),462,449,
977,GY132,"Government (Politics, Economics and Law)",465,273,
978,GY133,Education (Computer Science and Mathematical Studies),454,319,
979,GY134,Geography and Geosystems,425,235,
980,GY135,Arts (Global Media),442,328,
981,GY136,Na Dána (Léann Teanga - options),526,279,
982,GY201,Commerce,476,301,
983,GY202,Commerce (International) with French,520,505,
984,GY203,Commerce (International) with German,518,282,
985,GY204,Commerce (International) with Spanish,506,290,
986,GY206,Business Information Systems (Work Placement and Optional Int`l Study),509,309,
987,GY207,Commerce (Accounting) including optional Global Experience year,543,281,
988,GY208,Commerce (Gaeilge),508,297,
989,GY209,Commerce (Global Experience),551,412,
990,GY250,Law and Business,510,327,
991,GY251,Law (BCL),542,307,
992,GY252,Law (BCL) and Human Rights,565,324,
993,GY253,Law and Taxation,506,225,
994,GY254,"Law (BCL), Criminology and Criminal Justice",548,209,
995,GY261,Business Studies in International Hotel Management (interview),503,184,
996,GY262,Commerce in International Hotel Management (interview),709,171,
997,GY301,Science,489,243,
998,GY303,Biomedical Science,613,236,
999,GY304,Biotechnology,498,208,
1000,GY308,Environmental Science,431,216,
1001,GY309,Financial Mathematics and Economics,509,290,
1002,GY310,Marine Science,467,309,
1003,GY313,Environmental Health and Safety,412,245,
1004,GY314,Earth and Ocean Sciences,422,195,
1005,GY318,Biopharmaceutical Chemistry,555,415,
1006,GY319,Mathematical Science,543,311,
1007,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",465,291,
1008,GY321,Genetics and Genomics,532,360,
1009,GY322,Agricultural Sciences,485,316,
1010,GY350,Computer Science and Information Technology,495,209,
1011,GY401,Engineering (Undenominated),522,264,
1012,GY402,Civil Engineering,533,367,
1013,GY405,Mechanical Engineering,541,269,
1014,GY406,Electronic and Computer Engineering,555,223,
1015,GY408,Biomedical Engineering,554,280,
1016,GY410,Project and Construction Management,431,289,
1017,GY413,Energy Systems Engineering,509,262,
1018,GY414,Electrical and Electronic Engineering,433,243,
1019,GY501,"Medicine (five year/six year course, HPAT required)",737,254,
1020,GY502,Occupational Therapy,601,290,
1021,GY503,Speech and Language Therapy,578,356,
1022,GY504,Podiatric Medicine,531,338,
1023,GY515,General Nursing (Galway and Portiuncula),502,311,
1024,GY516,Mental Health Nursing,475,328,
1025,GY517,Midwifery,520,306,
1026,GB001,Business,,341,
1027,LY107,Business - Common Entry,189,300,
1028,LY108,Business - Accounting,312,285,
1029,LY118,Business,288,228,
1030,LY128,Marketing with Online Technologies,261,223,
1031,LY206,Sports Studies,147,234,
1032,LY207,Law with Criminal Justice,161,189,
1033,LY208,Law,300,223,
1034,LY228,Sports and Exercise - Common Entry,290,260,
1035,LY317,Culinary Arts,205,228,
1036,LY327,Hospitality And Tourism - Common Entry,180,243,
1037,LY408,Design - Common Entry,301,232,
1038,LY427,Digital Film and Video,217,224,
1039,LY437,Animation,183,251,
1040,LY447,Fashion with Promotion,189,269,
1041,LY457,Graphic and Digital Design,188,219,
1042,LY507,Quantity Surveying,204,,
1043,LY508,Fire Safety Engineering,283,243,
1044,LY518,Quantity Surveying,304,261,
1045,LY527,Civil Engineering,164,200,
1046,LY528,Construction Management,262,249,
1047,LY538,Architectural Technology,234,261,
1048,LY606,Electric Vehicle Engineering,216,251,
1049,LY607,Electronic Engineering,198,208,
1050,LY608,Mechanical Engineering,300,218,
1051,LY617,Mechanical Engineering,163,106,
1052,LY618,Electronic Engineering,321,234,
1053,LY707,Computer Games Development,206,225,
1054,LY708,Applied Computing,320,281,
1055,LY717,Computing,180,325,
1056,LY737,Computer Security and Digital Forensics,161,310,
1057,LY748,Computer Science,316,358,
1058,LY806,Pharmacy Technician,172,308,
1059,LY816,Dental Nursing,180,299,
1060,LY817,Bioscience,250,306,
1061,LY818,Science - Common Entry,302,300,
1062,LY826,Health Science with Physiotherapy Studies,487,325,
1063,LY828,Agriculture - Common Entry,308,302,
1064,LY836,Health Science with Occupational Therapy Studies,451,308,
1065,LY837,Food Science and Nutrition,215,309,
1066,LY846,Health Science with Dietetics Studies,336,317,
1067,LY847,Veterinary Nursing,389,308,
1068,LY867,Pharmaceutical and Medicinal Science,179,300,
1069,LY877,Agriculture,200,309,
1070,LY906,"Early Childhood Care, Health and Education",154,289,
1071,LY908,General Nursing,429,307,
1072,LY916,Health and Social Care,195,308,
1073,LY918,Psychiatric Nursing,367,,
1074,LY928,Intellectual Disability Nursing,357,440,
1075,LY968,"Early Childhood Care, Health and Education",288,389,
1076,LY978,Health and Social Care - Common Entry,279,435,
1077,MI001,Contemporary and Applied Theatre Studies,209,497,
1078,MI002,Arts,280,566,
1079,MI004,Education - Primary Teaching - International,589,442,
1080,MI005,Education - Primary Teaching,522,567,
1081,MI006,Education - Primary Teaching - Gaeltacht Applicants,485,529,
1082,MI007,Early Childhood Care and Education,409,420,
1083,MI008,Education and Psychology - Primary Teaching,590,555,
1084,MI009,"Education, Business Studies and Accounting",434,589,
1085,MI010,"Education, Business Studies and Religious Studies",370,340,
1086,MI011,"Education, Gaeilge and Religious Studies",407,602,
1087,MI012,"Education, Gaeilge and Business Studies",387,565,
1088,MI013,"Education, Mathematics and Gaeilge",509,543,
1089,MI014,"Education, Mathematics and Business Studies",476,602,
1090,CI110,Counselling and Psychotherapy,292,370,
1091,CI111,Counselling and Psychotherapy with Addiction Studies,290,398,
1092,CI112,Counselling and Psychotherapy with Youth Studies,325,487,
1093,LC110,"Art and Design (Common Entry, portfolio)",794,544,
1094,LC114,Fashion and Textiles for Product and Costume (portfolio),914,564,
1095,LC115,"Art and Design Teacher Education (LIT and UL, portfolio)",993,342,
1096,LC220,Digital Marketing,263,526,
1097,LC221,Accounting and Finance,243,531,
1098,LC222,Marketing and Management,259,510,
1099,LC223,Law and Taxation,331,509,
1100,LC224,Accounting and Finance,300,613,
1101,LC225,Marketing and Management,298,543,
1102,LC226,Enterprise and Innovation,255,532,
1103,LC228,Sports Development and Coaching,214,454,
1104,LC230,Business with Computing,241,466,
1105,LC233,Software Development,280,368,
1106,LC234,Immersive Digital Media and Spatial Computing,226,489,
1107,LC235,Internet Systems Development,207,393,
1108,LC236,Internet Systems Development,260,735,
1109,LC239,Computer Networks and Systems Management,317,613,
1110,LC241,Construction Management,326,566,
1111,LC242,Property Valuation and Management,308,533,
1112,LC243,Quantity Surveying,278,543,
1113,LC248,Built Environment (Common Entry),300,565,
1114,LC251,Civil Engineering,205,543,
1115,LC252,Civil Engineering Management,264,517,
1116,LC260,Applied Biology,338,473,
1117,LC263,Medical Technology,391,498,
1118,LC265,Forensic and Pharmaceutical Sciences,498,590,
1119,LC266,Drug and Medicinal Product Analysis,252,589,
1120,LC267,Forensic and Pharmaceutical Sciences,400,543,
1121,LC268,Medical Technology,384,555,
1122,LC270,Music Technology and Production,354,498,
1123,LC271,Electrical Engineering,329,462,
1124,LC275,Electrical Engineering,361,540,
1125,LC276,Creative Broadcast and Film Production,310,509,
1126,LC277,Industrial Automation and Robotic Systems,261,474,
1127,LC278,Renewable and Electrical Energy Engineering,306,444,
1128,LC279,Electronic Engineering with Computer Systems,242,531,
1129,LC281,Automobile Technology,277,429,
1130,LC283,Precision Engineering,207,430,
1131,LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",192,408,
1132,LC285,Mechanical Engineering,299,396,
1133,LC286,Road Transport Technology and Management,294,352,
1134,LC288,Mechanical Engineering,378,529,
1135,LC289,Precision Engineering,261,337,
1136,LC290,Sports Development Performance,208,337,
1137,LC292,Social Care Work,374,342,
1138,LC293,Business Studies with Travel and Tourism Management,271,498,
1139,LC294,Business Studies with Event Management,279,335,
1140,LC295,Business Studies with Sports Management,262,335,
1141,LC297,Community and Addiction Studies,272,499,
1142,LC320,Business,381,534,
1143,LC322,Enterprise and Innovation,228,534,
1144,LC330,Business with Computing,328,566,
1145,LC336,Computing,219,534,
1146,LC340,Interior Design,391,534,
1147,LC362,Biotechnology and Biopharmaceutical Sciences,429,534,
1148,LC371,Creative Broadcast and Film Production,325,498,
1149,LC372,Music Technology and Production,377,349,
1150,LC374,Renewable and Electrical Energy Engineering,337,349,
1151,LC375,Industrial Automation and Robotic Systems,309,349,
1152,LC376,Electronic Engineering with Computer Systems,357,529,
1153,LC380,Automotive Engineering and Transport Management,298,498,
1154,LC392,Business Studies in Beauty and Spa Management,328,499,
1155,LC393,Early Childhood Education and Care,309,498,
1156,LC396,Beauty and Spa Services,319,#498,
1157,LC397,Business Studies with Sports,233,498,
1158,LC398,Culinary Arts,215,#521,
1159,LC399,Hospitality Supervision,137,521,
1160,LC402,Social Care Work,228,521,
1161,LC408,Environmental Science and Climate,279,529,
1162,LC415,Business,172,#473,
1163,LC416,Business,260,521,
1164,LC418,Computing - Games Design and Development,260,529,
1165,LC422,Applied Strength and Conditioning,289,352,
1166,LC423,Applied Strength and Conditioning,145,498,
1167,LC425,Environmental Science,229,529,
1168,LC502,Game Art and Design (portfolio),841,529,
1169,LC504,Creative Media and Design,155,529,
1170,LC517,Creative Media and Design,279,529,
1171,LC518,Digital Animation Production (portfolio),807,529,
1172,LC602,Social Care Work,251,334,
1173,LC612,Social Care Work,309,499,
1174,LM002,Arts,360,337,
1175,LM019,Social Sciences,451,335,
1176,LM020,Law and Accounting,474,529,
1177,LM026,Performing Arts (audition format TBC),329,335,
1178,LM028,Criminal Justice,420,,
1179,LM029,Law Plus,530,342,
1180,LM038,Psychology and Sociology,530,566,
1181,LM039,Journalism and Digital Communication,432,566,
1182,LM040,European Studies,409,566,
1183,LM044,Applied Languages,429,499,
1184,LM050,Business Studies (options),451,#473,
1185,LM056,International Business,555,388,
1186,LM058,Financial Mathematics,468,388,
1187,LM063,Technology Management,410,499,
1188,LM066,Environmental Science,430,499,
1189,LM068,Food Science and Health,464,342,
1190,LM076,Product Design and Technology (portfolio required),401,498,
1191,LM077,Aeronautical Engineering,567,342,
1192,LM082,Construction Management and Engineering,446,,
1193,LM089,Sport and Exercise Sciences,498,403,
