End of Season,,,,,,,,,,,,,,,,,,,,,,
"Level 8, 7 & 6 with ISCED Broad Field Code",,,,,,,,,,,,,,,,,,,,,,
The details  given are for general information only and do not form part of any contract. They are not intended for use in determining whether any individual applicant is or is not entitled to an offer of a higher education place,,,,,,,,,,,,,,,,,,,,,,
Random * = Not all on this points score were offered places,,,,,,,,,,,,,,,,,,,,,,
# = Test / Interview / Portfolio / Audition,,,,,,,,,,,,,,,,,,,,,,
AQA = All qualified applicants,,,,,,,,,,,,,,,,,,,,,,
avp = Available Places,,,,,,,,,,,,,,,,,,,,,,
v = New competition for available places resulted in a higher points cutoff,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
Welfare,Counselling Skills and Youth Studies,CI005,306,,302,,302,,451,7,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
Welfare,Counselling and Psychotherapy,CI110,310,,,,310,,392,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
Welfare,Counselling and Addiction Studies,CI111,301,,,,301,,319,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
Welfare,Counselling and Youth Studies,CI112,311,,,,311,,311,8,Irish College of Humanities & Applied Sciences,,,,,,,,,,,
Arts,Arts - 3 years,CK101,300,,,,300,,388,8,University College Cork (NUI),,,,,,,,,,,
Social and behavioural sciences,Social Science,CK102,412,,,,412,,451,8,University College Cork (NUI),,,,,,,,,,,
Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302,,,,302,,435,8,University College Cork (NUI),#,,,,,,,,,,
Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368,,337,,319,,418,8,University College Cork (NUI),,,,,,,,,,,
Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328,,,,328,,388,8,University College Cork (NUI),,,,,,,,,,,
Languages,Arts International - 4 years,CK108,401,,,,401,,466,8,University College Cork (NUI),,,,,,,,,,,
Languages,English - 3 years or 4 years (International Pathway),CK109,318,,,,318,,441,8,University College Cork (NUI),,,,,,,,,,,
Languages,World Languages,CK110,452,,433,,410,,506,8,University College Cork (NUI),,,,,,,,,,,
Welfare,Early Years and Childhood Studies,CK111,419,,,,419,,451,8,University College Cork (NUI),,,,,,,,,,,
Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),CK112,330,,,,330,,434,8,University College Cork (NUI),#,,,,,,,,,,
Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),CK113,423,,,,423,,463,8,University College Cork (NUI),,,,,,,,,,,
Welfare,Social Science (Youth and Community Work) - 3 years,CK114,,,,,777,,,8,University College Cork (NUI),#,,,,,,,,,,
Welfare,Social Work - Mature Applicants only,CK115,,,,,999,,,8,University College Cork (NUI),,,,,,,,,,,
Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336,,,,336,,378,8,University College Cork (NUI),,,,,,,,,,,
Social and behavioural sciences,Applied Psychology,CK120,533,*,532,*,531,*,555,8,University College Cork (NUI),,,,,,,,,,,
Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466,,,,466,,496,8,University College Cork (NUI),,,,,,,,,,,
Social and behavioural sciences,Government and Political Science,CK122,337,,328,,326,,403,8,University College Cork (NUI),,,,,,,,,,,
Humanities (except languages),Anthropology,CK123,308,,,,308,,410,8,University College Cork (NUI),,,,,,,,,,,
Education,Education - Gaeilge,CK124,463,,462,,452,*,495,8,University College Cork (NUI),,,,,,,,,,,
Education,Sports Studies and Physical Education,CK125,510,*,509,*,509,*,532,8,University College Cork (NUI),,,,,,,,,,,
Business and administration,Commerce,CK201,477,*,,,477,*,509,8,University College Cork (NUI),,,,,,,,,,,
Business and administration,Accounting,CK202,509,,,,509,,542,8,University College Cork (NUI),,,,,,,,,,,
Information and Communication Technologies (ICTs),Business Information Systems,CK203,430,,,,430,,467,8,University College Cork (NUI),,,,,,,,,,,
Business and administration,Finance,CK204,556,,,,556,,590,8,University College Cork (NUI),,,,,,,,,,,
Business and administration,Commerce (International) with French,CK205,445,,,,445,,495,8,University College Cork (NUI),,,,,,,,,,,
Business and administration,Commerce (International) with German,CK206,420,,418,,418,,476,8,University College Cork (NUI),,,,,,,,,,,
Business and administration,Commerce (International) with Italian,CK207,388,,,,388,,455,8,University College Cork (NUI),,,,,,,,,,,
Business and administration,Commerce (International) with Hispanic Studies,CK208,402,,,,402,,484,8,University College Cork (NUI),,,,,,,,,,,
Business and administration,Commerce (International) with Irish,CK209,484,,,,484,,531,8,University College Cork (NUI),,,,,,,,,,,
Business and administration,Commerce (International) with Chinese Studies,CK211,397,,,,397,,433,8,University College Cork (NUI),,,,,,,,,,,
Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,444,,,,444,,473,8,University College Cork (NUI),,,,,,,,,,,
Business and administration,Food Marketing and Entrepreneurship,CK213,462,,,,462,,476,8,University College Cork (NUI),,,,,,,,,,,
Social and behavioural sciences,International Development,CK214,346,,,,346,,422,8,University College Cork (NUI),,,,,,,,,,,
Law,Law (Pathways) -  3 or 4 years,CK301,507,,499,,498,*,531,8,University College Cork (NUI),,,,,,,,,,,
Law,Law and French,CK302,542,,,,542,,576,8,University College Cork (NUI),,,,,,,,,,,
Law,Law and Irish,CK304,540,,,,540,,565,8,University College Cork (NUI),,,,,,,,,,,
Law,Law and Business,CK307,556,,,,556,,589,8,University College Cork (NUI),,,,,,,,,,,
Information and Communication Technologies (ICTs),Computer Science,CK401,468,,,,468,,509,8,University College Cork (NUI),,,,,,,,,,,
Biological and related sciences,Biological and Chemical Sciences,CK402,510,*,509,*,509,,532,8,University College Cork (NUI),,,,,,,,,,,
Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,467,,,,465,,498,8,University College Cork (NUI),,,,,,,,,,,
Biological and related sciences,Genetics,CK405,487,,,,487,,498,8,University College Cork (NUI),,,,,,,,,,,
Physical sciences,Chemical Sciences,CK406,485,,472,,462,,494,8,University College Cork (NUI),,,,,,,,,,,
Mathematics and statistics,Mathematical Sciences,CK407,566,,565,*,565,,601,8,University College Cork (NUI),,,,,,,,,,,
Physical sciences,Physics and Astrophysics,CK408,554,,542,,531,*,589,8,University College Cork (NUI),,,,,,,,,,,
Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,432,,,,432,,499,8,University College Cork (NUI),,,,,,,,,,,
Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,510,,,,509,,554,8,University College Cork (NUI),,,,,,,,,,,
Agriculture,Agricultural Science,CK412,496,*,496,*,489,*,510,8,University College Cork (NUI),,,,,,,,,,,
Biological and related sciences,Nutritional Sciences,CK504,518,,,,517,*,554,8,University College Cork (NUI),,,,,,,,,,,
Manufacturing and processing,Food Science,CK505,441,,440,*,420,,465,8,University College Cork (NUI),,,,,,,,,,,
Engineering and engineering trades,Engineering,CK600,487,,,,487,,532,8,University College Cork (NUI),,,,,,,,,,,
Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,484,,476,,469,,510,8,University College Cork (NUI),,,,,,,,,,,
Health,Medicine (Undergraduate Entry - HPAT required),CK701,731,,,,731,,739,8,University College Cork (NUI),#,,,,,,,,,,
Health,Dentistry,CK702,613,*,613,*,613,*,613,8,University College Cork (NUI),,,,,,,,,,,
Health,Pharmacy,CK703,590,,589,*,589,*,602,8,University College Cork (NUI),,,,,,,,,,,
Health,Occupational Therapy,CK704,566,,555,*,555,*,577,8,University College Cork (NUI),,,,,,,,,,,
Health,Speech and Language Therapy,CK705,520,,,,520,,541,8,University College Cork (NUI),,,,,,,,,,,
Health,Public Health Sciences,CK706,454,,,,454,,477,8,University College Cork (NUI),,,,,,,,,,,
Health,Medical and Health Sciences,CK707,542,,541,,541,,555,8,University College Cork (NUI),,,,,,,,,,,
Health,General Nursing,CK710,454,*,,,454,*,477,8,University College Cork (NUI),,,,,,,,,,,
Health,Children`s and General Nursing (Integrated),CK712,533,,,,533,,553,8,University College Cork (NUI),,,,,,,,,,,
Health,Mental Health Nursing,CK720,423,,,,419,,440,8,University College Cork (NUI),,,,,,,,,,,
